affectionate,unsympathetic
agreeable,disagreeable
aloof,sociable
altruistic,selfish
amicable,hostile
antisocial,sociable
asocial,sociable
bad,superb
beneficent,malevolent
benevolence,malevolence
benevolent,uncharitable
boring,entertaining
brutal,gentleness
caring,uncaring
civil,uncivil
cold,warm
coldness,torridity
compassionate,merciless
cooperative,unhelpful
corrupt,uncorrupted
criminal,lawfully
cruelty,mercy
cunning,artlessness
disagreeable,pleasant
discrimination,impartiality
dishonest,honest
disloyal,loyally
distant,adjacency
egoistic,altruistic
evil,goodness
fair,unfairly
faithful,unfaithful
fake,genuineness
forgiving,incrimination
forthcoming,effluent
friendliness,hostility
friendly,hostile
funny,normal
generous,stingy
genuine,insincere
good,evil
helpful,unhelpful
honest,dishonest
honesty,dishonesty
hospitable,inhospitable
hostile,amicable
humane,cruel
humorous,displeasing
immoral,virtuous
impolite,courteous
inconsiderate,considerate
incorrupt,immoral
inhospitable,hospitable
innocent,peccant
insensitive,sensitive
insincere,genuine
intolerance,fortitude
intolerant,tolerant
irresponsible,careful
kind,malevolent
kindness,malevolence
lenient,unmerciful
liar,verity
loyal,faithless
mean,benevolent
moral,immoral
morality,immorality
nasty,nice
nice,ugly
open,closed
outgoing,unsociably
pleasant,unpleasant
polite,ungracious
popular,gothic
prejudice,justice
prejudiced,unprejudiced
racism,fair
racist,fair
reliable,untrustworthy
repellent,attractive
resentful,pleased
responsible,scatterbrained
right,wrong
rough,smoothness
rude,courteous
scheming,impolitic
selfish,unselfish
selfless,selfish
sensitive,insensitive
sentimental,unemotional
sexist,unprejudiced
shy,presumptuous
sincere,insincere
sincerity,roguish
sociable,antisocial
social,unsociable
stingy,generous
sympathetic,unsympathetic
sympathy,incompatibility
tender,tough
thief,offer
thoughtful,thoughtless
threat,security
timid,bold
tolerance,illiberality
tolerant,intolerant
treacherous,dependable
trustworthiness,untrustworthiness
trustworthy,untrustworthy
truthful,untruthful
uncaring,caring
uncooperative,accommodating
understanding,ignorance
unfair,equitable
unfriendliness,neighbourliness
unfriendly,friendly
unhelpful,helpful
unkind,humane
unpleasant,pleasant
unprejudiced,prejudiced
unreliable,trusty
unreserved,repressed
unsociability,companionableness
unsociable,friendly
unsympathetic,sympathetic
untrustworthiness,trustworthiness
untrustworthy,trusty
untruthful,truthful
vicious,nice
virtuous,immoral
warm,cold
warmth,iciness
welcoming,inhospitable
wrong,right
